,Year,County,Property_type,mean_inventory,Median_sales_price
969,2015,Orange County,Single Family Residential,5104.73,755318.18
970,2015,Orange County,Townhouse,464.82,501181.82
971,2016,Orange County,All Residential,8592.27,682272.73
972,2016,Orange County,Condo/Co-op,2190.0,444636.36
973,2016,Orange County,Multi-Family (2-4 Unit),223.27,1013295.45
974,2016,Orange County,Single Family Residential,5710.82,793179.45
975,2016,Orange County,Townhouse,468.18,535045.45
976,2017,Orange County,All Residential,7896.09,724250.0
977,2017,Orange County,Condo/Co-op,1880.64,478272.73
978,2017,Orange County,Multi-Family (2-4 Unit),176.91,1159659.09
979,2017,Orange County,Single Family Residential,5392.18,841454.55
980,2017,Orange County,Townhouse,446.36,571095.45
981,2018,Orange County,All Residential,8479.36,772250.0
982,2018,Orange County,Condo/Co-op,2216.27,516068.18
983,2018,Orange County,Multi-Family (2-4 Unit),178.09,1260477.27
984,2018,Orange County,Single Family Residential,5589.18,879351.64
985,2018,Orange County,Townhouse,495.82,606386.36
986,2019,Orange County,All Residential,9071.45,777250.0
987,2019,Orange County,Condo/Co-op,2522.18,507931.82
988,2019,Orange County,Multi-Family (2-4 Unit),214.09,1298568.18
989,2019,Orange County,Single Family Residential,5789.09,886366.27
990,2019,Orange County,Townhouse,546.09,599545.0
991,2020,Orange County,All Residential,6661.09,836747.91
992,2020,Orange County,Condo/Co-op,1927.09,543750.0
993,2020,Orange County,Multi-Family (2-4 Unit),181.27,1291659.09
994,2020,Orange County,Single Family Residential,4089.36,963045.45
995,2020,Orange County,Townhouse,463.36,641188.64
996,2021,Orange County,All Residential,4339.55,971136.36
997,2021,Orange County,Condo/Co-op,1262.36,615113.64
998,2021,Orange County,Multi-Family (2-4 Unit),153.36,1547483.45
999,2021,Orange County,Single Family Residential,2648.45,1165113.64
1000,2021,Orange County,Townhouse,275.36,748863.64
1001,2022,Orange County,All Residential,4394.0,1958000.0
1002,2022,Orange County,Condo/Co-op,1316.0,1269000.0
1003,2022,Orange County,Multi-Family (2-4 Unit),206.0,3060000.0
1004,2022,Orange County,Single Family Residential,2594.0,2420000.0
1005,2022,Orange County,Townhouse,278.0,1541250.0
1006,2012,Placer County,All Residential,1757.18,303245.45
1007,2012,Placer County,Condo/Co-op,213.82,172372.64
1008,2012,Placer County,Multi-Family (2-4 Unit),14.1,218075.0
1009,2012,Placer County,Single Family Residential,1526.91,309184.09
1010,2012,Placer County,Townhouse,2.4,165650.0
1011,2013,Placer County,All Residential,1492.73,373269.32
1012,2013,Placer County,Condo/Co-op,189.82,228639.5
1013,2013,Placer County,Multi-Family (2-4 Unit),19.09,290553.0
1014,2013,Placer County,Single Family Residential,1281.82,382338.95
1015,2013,Placer County,Townhouse,2.71,164178.57
1016,2014,Placer County,All Residential,1928.45,407255.45
1017,2014,Placer County,Condo/Co-op,203.73,240431.82
1018,2014,Placer County,Multi-Family (2-4 Unit),23.8,274655.0
1019,2014,Placer County,Single Family Residential,1699.45,414931.82
1020,2014,Placer County,Townhouse,2.0,243750.0
1021,2015,Placer County,All Residential,1860.0,421572.64
1022,2015,Placer County,Condo/Co-op,226.45,244954.55
1023,2015,Placer County,Multi-Family (2-4 Unit),18.55,333494.95
1024,2015,Placer County,Single Family Residential,1612.64,430642.27
1025,2015,Placer County,Townhouse,2.25,218812.5
1026,2016,Placer County,All Residential,1701.27,459993.14
1027,2016,Placer County,Condo/Co-op,224.64,278318.18
1028,2016,Placer County,Multi-Family (2-4 Unit),15.18,365075.0
1029,2016,Placer County,Single Family Residential,1459.82,468925.18
1030,2016,Placer County,Townhouse,1.67,306083.33
1031,2017,Placer County,All Residential,1447.91,489340.91
1032,2017,Placer County,Condo/Co-op,169.36,317981.82
1033,2017,Placer County,Multi-Family (2-4 Unit),12.0,424272.73
1034,2017,Placer County,Single Family Residential,1264.18,497522.73
1035,2017,Placer County,Townhouse,2.75,302798.31
1036,2018,Placer County,All Residential,1511.09,520187.73
1037,2018,Placer County,Condo/Co-op,164.73,342777.27
1038,2018,Placer County,Multi-Family (2-4 Unit),17.73,446876.36
1039,2018,Placer County,Single Family Residential,1325.73,533956.86
1040,2018,Placer County,Townhouse,3.33,366111.11
1041,2019,Placer County,All Residential,1537.0,539681.82
1042,2019,Placer County,Condo/Co-op,142.55,354477.27
1043,2019,Placer County,Multi-Family (2-4 Unit),14.91,529272.73
1044,2019,Placer County,Single Family Residential,1376.45,549877.36
1045,2019,Placer County,Townhouse,3.2,406575.0
1046,2020,Placer County,All Residential,1109.36,577772.27
1047,2020,Placer County,Condo/Co-op,136.55,387909.09
1048,2020,Placer County,Multi-Family (2-4 Unit),15.7,524920.0
1049,2020,Placer County,Single Family Residential,955.27,588818.18
1050,2020,Placer County,Townhouse,2.44,322944.44
1051,2021,Placer County,All Residential,687.91,694662.23
1052,2021,Placer County,Condo/Co-op,74.73,460954.55
1053,2021,Placer County,Multi-Family (2-4 Unit),25.18,709000.0
1054,2021,Placer County,Single Family Residential,585.91,705363.64
1055,2021,Placer County,Townhouse,2.2,451932.1
1056,2022,Placer County,All Residential,834.0,1346250.0
1057,2022,Placer County,Condo/Co-op,76.0,876000.0
1058,2022,Placer County,Multi-Family (2-4 Unit),36.0,1772500.0
1059,2022,Placer County,Single Family Residential,719.0,1365464.0
1060,2022,Placer County,Townhouse,3.0,932500.0
1061,2012,Riverside County,All Residential,8471.1,225800.0
1062,2012,Riverside County,Condo/Co-op,1345.2,166062.5
1063,2012,Riverside County,Multi-Family (2-4 Unit),136.4,196035.0
1064,2012,Riverside County,Single Family Residential,6952.8,232800.0
1065,2012,Riverside County,Townhouse,36.7,159004.5
1066,2013,Riverside County,All Residential,6590.91,279496.82
1067,2013,Riverside County,Condo/Co-op,1194.91,202972.73
1068,2013,Riverside County,Multi-Family (2-4 Unit),129.45,244524.77
1069,2013,Riverside County,Single Family Residential,5237.0,291067.73
1070,2013,Riverside County,Townhouse,29.55,227336.36
1071,2014,Riverside County,All Residential,9673.55,316840.91
1072,2014,Riverside County,Condo/Co-op,1475.55,236090.91
1073,2014,Riverside County,Multi-Family (2-4 Unit),168.45,253959.09
1074,2014,Riverside County,Single Family Residential,7981.91,327420.27
1075,2014,Riverside County,Townhouse,47.64,266614.82
1076,2015,Riverside County,All Residential,11161.73,334635.91
1077,2015,Riverside County,Condo/Co-op,1734.91,237886.36
1078,2015,Riverside County,Multi-Family (2-4 Unit),185.09,295795.45
1079,2015,Riverside County,Single Family Residential,9187.45,347108.64
1080,2015,Riverside County,Townhouse,54.27,289058.64
1081,2016,Riverside County,All Residential,11613.09,356681.82
1082,2016,Riverside County,Condo/Co-op,1836.18,246636.36
1083,2016,Riverside County,Multi-Family (2-4 Unit),165.18,319828.5
1084,2016,Riverside County,Single Family Residential,9551.82,370340.91
1085,2016,Riverside County,Townhouse,59.91,298762.91
1086,2017,Riverside County,All Residential,10316.09,382980.45
1087,2017,Riverside County,Condo/Co-op,1565.91,262136.36
1088,2017,Riverside County,Multi-Family (2-4 Unit),149.18,355231.82
1089,2017,Riverside County,Single Family Residential,8532.27,399463.18
1090,2017,Riverside County,Townhouse,68.73,350782.05
1091,2018,Riverside County,All Residential,10938.27,409279.77
1092,2018,Riverside County,Condo/Co-op,1325.55,286977.27
1093,2018,Riverside County,Multi-Family (2-4 Unit),137.36,390886.36
1094,2018,Riverside County,Single Family Residential,9398.55,425159.09
1095,2018,Riverside County,Townhouse,76.82,351609.09
1096,2019,Riverside County,All Residential,11140.27,422954.55
1097,2019,Riverside County,Condo/Co-op,1436.82,305363.64
1098,2019,Riverside County,Multi-Family (2-4 Unit),138.18,422659.09
1099,2019,Riverside County,Single Family Residential,9474.0,438267.27
1100,2019,Riverside County,Townhouse,91.27,377380.32
1101,2020,Riverside County,All Residential,7810.82,466545.45
1102,2020,Riverside County,Condo/Co-op,1304.55,330727.27
1103,2020,Riverside County,Multi-Family (2-4 Unit),115.09,442863.64
1104,2020,Riverside County,Single Family Residential,6327.45,484550.68
1105,2020,Riverside County,Townhouse,63.73,398795.45
1106,2021,Riverside County,All Residential,5069.73,566873.77
1107,2021,Riverside County,Condo/Co-op,634.45,401681.82
1108,2021,Riverside County,Multi-Family (2-4 Unit),107.64,551613.64
1109,2021,Riverside County,Single Family Residential,4288.73,590363.64
1110,2021,Riverside County,Townhouse,39.36,466727.27
1111,2022,Riverside County,All Residential,6895.0,1143000.0
1112,2022,Riverside County,Condo/Co-op,807.0,883000.0
1113,2022,Riverside County,Multi-Family (2-4 Unit),154.0,1247000.0
1114,2022,Riverside County,Single Family Residential,5892.0,1175000.0
1115,2022,Riverside County,Townhouse,42.0,928000.0
1116,2012,Sacramento County,All Residential,4475.09,183390.91
1117,2012,Sacramento County,Condo/Co-op,333.18,86850.0
1118,2012,Sacramento County,Multi-Family (2-4 Unit),154.27,187559.09
1119,2012,Sacramento County,Single Family Residential,3973.18,190154.55
1120,2012,Sacramento County,Townhouse,14.45,94754.55
1121,2013,Sacramento County,All Residential,3279.82,245681.73
1122,2013,Sacramento County,Condo/Co-op,232.64,131040.91
1123,2013,Sacramento County,Multi-Family (2-4 Unit),161.0,247727.27
1124,2013,Sacramento County,Single Family Residential,2872.91,254818.18
1125,2013,Sacramento County,Townhouse,13.27,119431.82
1126,2014,Sacramento County,All Residential,4096.82,277809.09
1127,2014,Sacramento County,Condo/Co-op,329.55,147672.73
1128,2014,Sacramento County,Multi-Family (2-4 Unit),195.36,263076.73
1129,2014,Sacramento County,Single Family Residential,3557.73,286631.82
1130,2014,Sacramento County,Townhouse,14.18,130931.73
1131,2015,Sacramento County,All Residential,3577.45,298522.73
1132,2015,Sacramento County,Condo/Co-op,256.09,155234.91
1133,2015,Sacramento County,Multi-Family (2-4 Unit),173.36,293318.18
1134,2015,Sacramento County,Single Family Residential,3137.36,309090.91
1135,2015,Sacramento County,Townhouse,10.64,179677.27
1136,2016,Sacramento County,All Residential,3086.73,329909.09
1137,2016,Sacramento County,Condo/Co-op,171.27,181000.0
1138,2016,Sacramento County,Multi-Family (2-4 Unit),158.36,331870.45
1139,2016,Sacramento County,Single Family Residential,2747.55,338477.27
1140,2016,Sacramento County,Townhouse,9.55,217000.0
1141,2017,Sacramento County,All Residential,2656.91,356890.91
1142,2017,Sacramento County,Condo/Co-op,154.0,210431.82
1143,2017,Sacramento County,Multi-Family (2-4 Unit),116.45,361859.09
1144,2017,Sacramento County,Single Family Residential,2378.55,366431.82
1145,2017,Sacramento County,Townhouse,7.91,213909.09
1146,2018,Sacramento County,All Residential,3145.36,385704.55
1147,2018,Sacramento County,Condo/Co-op,201.55,236545.45
1148,2018,Sacramento County,Multi-Family (2-4 Unit),126.73,417522.68
1149,2018,Sacramento County,Single Family Residential,2808.09,395840.91
1150,2018,Sacramento County,Townhouse,9.0,223863.64
1151,2019,Sacramento County,All Residential,2736.45,400727.27
1152,2019,Sacramento County,Condo/Co-op,187.73,243250.0
1153,2019,Sacramento County,Multi-Family (2-4 Unit),113.82,438181.82
1154,2019,Sacramento County,Single Family Residential,2423.0,411000.0
1155,2019,Sacramento County,Townhouse,11.91,262681.82
1156,2020,Sacramento County,All Residential,1842.36,443022.73
1157,2020,Sacramento County,Condo/Co-op,171.36,266409.09
1158,2020,Sacramento County,Multi-Family (2-4 Unit),113.09,499545.45
1159,2020,Sacramento County,Single Family Residential,1547.0,451964.95
1160,2020,Sacramento County,Townhouse,10.91,299022.73
1161,2021,Sacramento County,All Residential,1418.0,526691.18
1162,2021,Sacramento County,Condo/Co-op,99.73,313181.82
1163,2021,Sacramento County,Multi-Family (2-4 Unit),116.18,586194.36
1164,2021,Sacramento County,Single Family Residential,1185.64,541022.73
1165,2021,Sacramento County,Townhouse,16.45,372067.27
1166,2022,Sacramento County,All Residential,1647.0,1023000.0
1167,2022,Sacramento County,Condo/Co-op,104.0,639500.0
1168,2022,Sacramento County,Multi-Family (2-4 Unit),124.0,1115000.0
1169,2022,Sacramento County,Single Family Residential,1398.0,1055000.0
1170,2022,Sacramento County,Townhouse,21.0,745000.0
1171,2012,San Benito County,All Residential,125.64,309863.64
1172,2012,San Benito County,Condo/Co-op,1.25,254500.0
1173,2012,San Benito County,Multi-Family (2-4 Unit),2.38,306612.5
1174,2012,San Benito County,Single Family Residential,117.18,318486.36
1175,2012,San Benito County,Townhouse,4.91,207204.64
1176,2013,San Benito County,All Residential,90.64,400454.55
1177,2013,San Benito County,Condo/Co-op,0.0,310000.0
1178,2013,San Benito County,Multi-Family (2-4 Unit),2.0,476000.0
1179,2013,San Benito County,Single Family Residential,85.91,403595.45
1180,2013,San Benito County,Townhouse,2.38,276156.25
1181,2014,San Benito County,All Residential,130.82,451545.45
1182,2014,San Benito County,Condo/Co-op,3.6,310850.0
1183,2014,San Benito County,Multi-Family (2-4 Unit),6.67,727083.33
1184,2014,San Benito County,Single Family Residential,116.73,457818.18
1185,2014,San Benito County,Townhouse,5.2,315700.0
1186,2015,San Benito County,All Residential,136.82,497863.64
1187,2015,San Benito County,Condo/Co-op,2.33,349416.67
1188,2015,San Benito County,Multi-Family (2-4 Unit),7.33,585750.0
1189,2015,San Benito County,Single Family Residential,122.82,509312.27
1190,2015,San Benito County,Townhouse,4.6,358806.8
1191,2016,San Benito County,All Residential,188.0,533222.73
1192,2016,San Benito County,Condo/Co-op,1.0,630850.0
1193,2016,San Benito County,Multi-Family (2-4 Unit),7.0,694166.67
1194,2016,San Benito County,Single Family Residential,172.91,542545.45
1195,2016,San Benito County,Townhouse,8.91,403972.73
1196,2017,San Benito County,All Residential,171.36,585250.0
1197,2017,San Benito County,Condo/Co-op,2.0,428500.0
1198,2017,San Benito County,Multi-Family (2-4 Unit),4.71,937735.71
1199,2017,San Benito County,Single Family Residential,155.09,596087.09
1200,2017,San Benito County,Townhouse,10.8,374905.0
1201,2018,San Benito County,All Residential,157.0,616307.5
1202,2018,San Benito County,Condo/Co-op,0.0,845000.0
1203,2018,San Benito County,Multi-Family (2-4 Unit),4.0,709000.0
1204,2018,San Benito County,Single Family Residential,140.36,628284.14
1205,2018,San Benito County,Townhouse,11.91,445393.18
1206,2019,San Benito County,All Residential,180.36,637059.0
1207,2019,San Benito County,Condo/Co-op,2.0,789578.0
1208,2019,San Benito County,Multi-Family (2-4 Unit),3.0,1203500.0
1209,2019,San Benito County,Single Family Residential,163.09,646600.32
1210,2019,San Benito County,Townhouse,13.73,420340.91
1211,2020,San Benito County,All Residential,140.64,678877.27
1212,2020,San Benito County,Condo/Co-op,0.0,420000.0
1213,2020,San Benito County,Multi-Family (2-4 Unit),3.0,869583.33
1214,2020,San Benito County,Single Family Residential,132.82,689965.23
1215,2020,San Benito County,Townhouse,4.4,470100.0
1216,2021,San Benito County,All Residential,109.82,822809.09
1217,2021,San Benito County,Condo/Co-op,0.33,542333.33
1218,2021,San Benito County,Multi-Family (2-4 Unit),0.8,1031900.0
1219,2021,San Benito County,Single Family Residential,104.73,835997.0
1220,2021,San Benito County,Townhouse,3.6,540250.0
1221,2022,San Benito County,All Residential,121.0,1662500.0
1222,2022,San Benito County,Condo/Co-op,0.0,543000.0
1223,2022,San Benito County,Multi-Family (2-4 Unit),4.0,2217500.0
1224,2022,San Benito County,Single Family Residential,114.0,1687500.0
1225,2022,San Benito County,Townhouse,3.0,1065000.0
1226,2012,San Bernardino County,All Residential,5193.2,175325.0
1227,2012,San Bernardino County,Condo/Co-op,246.1,144819.95
1228,2012,San Bernardino County,Multi-Family (2-4 Unit),159.4,184025.0
1229,2012,San Bernardino County,Single Family Residential,4737.5,176656.35
1230,2012,San Bernardino County,Townhouse,50.2,224195.0
1231,2013,San Bernardino County,All Residential,4039.09,234172.73
1232,2013,San Bernardino County,Condo/Co-op,170.0,197818.18
1233,2013,San Bernardino County,Multi-Family (2-4 Unit),203.73,231772.73
1234,2013,San Bernardino County,Single Family Residential,3633.36,236840.91
1235,2013,San Bernardino County,Townhouse,32.0,264340.91
1236,2014,San Bernardino County,All Residential,6212.18,275493.18
1237,2014,San Bernardino County,Condo/Co-op,293.0,240050.0
1238,2014,San Bernardino County,Multi-Family (2-4 Unit),264.0,257595.45
1239,2014,San Bernardino County,Single Family Residential,5586.91,279068.18
1240,2014,San Bernardino County,Townhouse,68.27,296886.36
1241,2015,San Bernardino County,All Residential,7073.36,297840.91
1242,2015,San Bernardino County,Condo/Co-op,305.73,266318.18
1243,2015,San Bernardino County,Multi-Family (2-4 Unit),338.18,304431.82
1244,2015,San Bernardino County,Single Family Residential,6353.73,300407.45
1245,2015,San Bernardino County,Townhouse,75.73,320545.45
1246,2016,San Bernardino County,All Residential,7319.18,317822.73
1247,2016,San Bernardino County,Condo/Co-op,327.18,286032.0
1248,2016,San Bernardino County,Multi-Family (2-4 Unit),298.91,308236.36
1249,2016,San Bernardino County,Single Family Residential,6634.73,321177.27
1250,2016,San Bernardino County,Townhouse,58.36,321500.0
1251,2017,San Bernardino County,All Residential,6972.09,343045.45
1252,2017,San Bernardino County,Condo/Co-op,330.91,317090.91
1253,2017,San Bernardino County,Multi-Family (2-4 Unit),245.55,357772.73
1254,2017,San Bernardino County,Single Family Residential,6318.09,344568.18
1255,2017,San Bernardino County,Townhouse,77.55,358659.09
1256,2018,San Bernardino County,All Residential,7432.0,364545.45
1257,2018,San Bernardino County,Condo/Co-op,358.64,345431.82
1258,2018,San Bernardino County,Multi-Family (2-4 Unit),218.91,387289.36
1259,2018,San Bernardino County,Single Family Residential,6775.36,365909.09
1260,2018,San Bernardino County,Townhouse,79.09,377080.05
1261,2019,San Bernardino County,All Residential,7437.45,382090.91
1262,2019,San Bernardino County,Condo/Co-op,411.82,355427.27
1263,2019,San Bernardino County,Multi-Family (2-4 Unit),191.0,377863.64
1264,2019,San Bernardino County,Single Family Residential,6740.27,385295.45
1265,2019,San Bernardino County,Townhouse,94.36,381909.09
1266,2020,San Bernardino County,All Residential,5580.91,409635.91
1267,2020,San Bernardino County,Condo/Co-op,308.36,387966.82
1268,2020,San Bernardino County,Multi-Family (2-4 Unit),156.27,456028.55
1269,2020,San Bernardino County,Single Family Residential,5038.82,411590.91
1270,2020,San Bernardino County,Townhouse,77.45,428741.45
1271,2021,San Bernardino County,All Residential,4323.91,491318.18
1272,2021,San Bernardino County,Condo/Co-op,193.09,437636.36
1273,2021,San Bernardino County,Multi-Family (2-4 Unit),153.18,517545.45
1274,2021,San Bernardino County,Single Family Residential,3917.18,497590.91
1275,2021,San Bernardino County,Townhouse,60.45,485204.55
1276,2022,San Bernardino County,All Residential,5776.0,960000.0
1277,2022,San Bernardino County,Condo/Co-op,243.0,916814.0
1278,2022,San Bernardino County,Multi-Family (2-4 Unit),146.0,1020000.0
1279,2022,San Bernardino County,Single Family Residential,5326.0,962000.0
1280,2022,San Bernardino County,Townhouse,61.0,1075500.0
1281,2012,San Diego County,All Residential,8098.09,366022.73
1282,2012,San Diego County,Condo/Co-op,1930.82,244999.55
1283,2012,San Diego County,Multi-Family (2-4 Unit),267.09,377409.09
1284,2012,San Diego County,Single Family Residential,5390.64,413659.09
1285,2012,San Diego County,Townhouse,509.55,267750.0
1286,2013,San Diego County,All Residential,7510.73,440068.18
1287,2013,San Diego County,Condo/Co-op,1847.82,318654.55
1288,2013,San Diego County,Multi-Family (2-4 Unit),311.73,509068.18
1289,2013,San Diego County,Single Family Residential,5003.82,492925.64
1290,2013,San Diego County,Townhouse,347.36,333495.45
1291,2014,San Diego County,All Residential,9260.64,477454.55
1292,2014,San Diego County,Condo/Co-op,2343.0,353613.64
1293,2014,San Diego County,Multi-Family (2-4 Unit),344.0,545863.64
1294,2014,San Diego County,Single Family Residential,6125.55,536886.36
1295,2014,San Diego County,Townhouse,448.09,377522.73
1296,2015,San Diego County,All Residential,8373.55,506519.64
1297,2015,San Diego County,Condo/Co-op,2087.18,376909.09
1298,2015,San Diego County,Multi-Family (2-4 Unit),296.09,611250.0
1299,2015,San Diego County,Single Family Residential,5597.27,569752.05
1300,2015,San Diego County,Townhouse,393.0,399859.09
1301,2016,San Diego County,All Residential,7632.91,540000.0
1302,2016,San Diego County,Condo/Co-op,1727.36,405813.64
1303,2016,San Diego County,Multi-Family (2-4 Unit),267.91,675386.36
1304,2016,San Diego County,Single Family Residential,5319.82,606063.64
1305,2016,San Diego County,Townhouse,317.82,419568.18
1306,2017,San Diego County,All Residential,6384.82,584271.82
1307,2017,San Diego County,Condo/Co-op,1456.0,429714.86
1308,2017,San Diego County,Multi-Family (2-4 Unit),227.55,735813.09
1309,2017,San Diego County,Single Family Residential,4422.73,652227.27
1310,2017,San Diego County,Townhouse,278.55,466000.0
1311,2018,San Diego County,All Residential,7827.82,618818.18
1312,2018,San Diego County,Condo/Co-op,1870.91,437931.82
1313,2018,San Diego County,Multi-Family (2-4 Unit),248.64,807971.59
1314,2018,San Diego County,Single Family Residential,5280.0,691762.5
1315,2018,San Diego County,Townhouse,428.27,529818.18
1316,2019,San Diego County,All Residential,7450.73,633090.91
1317,2019,San Diego County,Condo/Co-op,1912.09,447518.18
1318,2019,San Diego County,Multi-Family (2-4 Unit),247.73,830022.73
1319,2019,San Diego County,Single Family Residential,4825.73,703136.36
1320,2019,San Diego County,Townhouse,465.18,544008.64
1321,2020,San Diego County,All Residential,4950.27,686328.18
1322,2020,San Diego County,Condo/Co-op,1425.36,466772.73
1323,2020,San Diego County,Multi-Family (2-4 Unit),222.45,914409.09
1324,2020,San Diego County,Single Family Residential,2928.91,770272.73
1325,2020,San Diego County,Townhouse,373.55,581317.91
1326,2021,San Diego County,All Residential,3175.45,806181.82
1327,2021,San Diego County,Condo/Co-op,750.64,548954.55
1328,2021,San Diego County,Multi-Family (2-4 Unit),178.64,1087727.27
1329,2021,San Diego County,Single Family Residential,2030.0,908545.45
1330,2021,San Diego County,Townhouse,216.18,680272.73
1331,2022,San Diego County,All Residential,3363.0,1580000.0
1332,2022,San Diego County,Condo/Co-op,695.0,1142500.0
1333,2022,San Diego County,Multi-Family (2-4 Unit),163.0,2209500.0
1334,2022,San Diego County,Single Family Residential,2254.0,1781000.0
1335,2022,San Diego County,Townhouse,251.0,1315000.0
1336,2012,San Francisco County,All Residential,876.91,815318.18
1337,2012,San Francisco County,Condo/Co-op,402.36,766022.73
1338,2012,San Francisco County,Multi-Family (2-4 Unit),100.91,1119250.0
1339,2012,San Francisco County,Single Family Residential,346.73,822863.64
1340,2012,San Francisco County,Townhouse,26.91,911400.0
1341,2013,San Francisco County,All Residential,660.0,953159.09
1342,2013,San Francisco County,Condo/Co-op,303.18,887477.27
1343,2013,San Francisco County,Multi-Family (2-4 Unit),72.91,1385777.27
1344,2013,San Francisco County,Single Family Residential,267.73,996590.91
1345,2013,San Francisco County,Townhouse,16.18,1097081.82
1346,2014,San Francisco County,All Residential,580.55,1118045.45
1347,2014,San Francisco County,Condo/Co-op,269.36,1027469.64
1348,2014,San Francisco County,Multi-Family (2-4 Unit),68.27,1659954.55
1349,2014,San Francisco County,Single Family Residential,228.55,1156659.09
1350,2014,San Francisco County,Townhouse,14.36,1278541.36
1351,2015,San Francisco County,All Residential,558.45,1290272.73
1352,2015,San Francisco County,Condo/Co-op,257.55,1160874.27
1353,2015,San Francisco County,Multi-Family (2-4 Unit),68.09,1806727.27
1354,2015,San Francisco County,Single Family Residential,215.82,1337363.64
1355,2015,San Francisco County,Townhouse,17.0,1356024.0
1356,2016,San Francisco County,All Residential,826.64,1331772.73
1357,2016,San Francisco County,Condo/Co-op,434.09,1185136.36
1358,2016,San Francisco County,Multi-Family (2-4 Unit),85.36,1984772.73
1359,2016,San Francisco County,Single Family Residential,285.82,1436372.73
1360,2016,San Francisco County,Townhouse,21.36,1359173.45
1361,2017,San Francisco County,All Residential,760.45,1396909.09
1362,2017,San Francisco County,Condo/Co-op,427.82,1222250.0
1363,2017,San Francisco County,Multi-Family (2-4 Unit),86.73,2039150.0
1364,2017,San Francisco County,Single Family Residential,222.45,1531168.18
1365,2017,San Francisco County,Townhouse,23.45,1553750.0
1366,2018,San Francisco County,All Residential,808.91,1502522.73
1367,2018,San Francisco County,Condo/Co-op,435.73,1279389.55
1368,2018,San Francisco County,Multi-Family (2-4 Unit),101.55,2108718.18
1369,2018,San Francisco County,Single Family Residential,251.45,1702045.45
1370,2018,San Francisco County,Townhouse,20.18,1466097.18
1371,2019,San Francisco County,All Residential,861.09,1525250.0
1372,2019,San Francisco County,Condo/Co-op,476.0,1326500.0
1373,2019,San Francisco County,Multi-Family (2-4 Unit),104.45,2203704.55
1374,2019,San Francisco County,Single Family Residential,257.45,1713318.18
1375,2019,San Francisco County,Townhouse,23.18,1448000.0
1376,2020,San Francisco County,All Residential,1428.55,1556045.45
1377,2020,San Francisco County,Condo/Co-op,911.73,1305769.32
1378,2020,San Francisco County,Multi-Family (2-4 Unit),133.09,2097590.91
1379,2020,San Francisco County,Single Family Residential,355.82,1783545.45
1380,2020,San Francisco County,Townhouse,27.91,1634113.64
1381,2021,San Francisco County,All Residential,1243.45,1578500.0
1382,2021,San Francisco County,Condo/Co-op,799.36,1305573.73
1383,2021,San Francisco County,Multi-Family (2-4 Unit),148.73,2172727.27
1384,2021,San Francisco County,Single Family Residential,285.73,1918636.36
1385,2021,San Francisco County,Townhouse,9.64,1461681.82
1386,2022,San Francisco County,All Residential,1624.0,2815000.0
1387,2022,San Francisco County,Condo/Co-op,1080.0,2227500.0
1388,2022,San Francisco County,Multi-Family (2-4 Unit),195.0,3750000.0
1389,2022,San Francisco County,Single Family Residential,333.0,3430000.0
1390,2022,San Francisco County,Townhouse,16.0,2277500.0
1391,2012,San Joaquin County,All Residential,2156.64,178315.91
1392,2012,San Joaquin County,Condo/Co-op,85.82,71420.41
1393,2012,San Joaquin County,Multi-Family (2-4 Unit),94.82,125595.41
1394,2012,San Joaquin County,Single Family Residential,1972.64,184522.73
1395,2012,San Joaquin County,Townhouse,3.44,102605.56
1396,2013,San Joaquin County,All Residential,1365.0,223850.0
1397,2013,San Joaquin County,Condo/Co-op,54.82,81290.91
1398,2013,San Joaquin County,Multi-Family (2-4 Unit),81.18,166977.27
1399,2013,San Joaquin County,Single Family Residential,1227.64,233986.36
1400,2013,San Joaquin County,Townhouse,1.0,110000.08
1401,2014,San Joaquin County,All Residential,1740.82,266781.82
1402,2014,San Joaquin County,Condo/Co-op,71.36,116340.91
1403,2014,San Joaquin County,Multi-Family (2-4 Unit),91.09,199204.55
1404,2014,San Joaquin County,Single Family Residential,1574.55,276675.0
1405,2014,San Joaquin County,Townhouse,3.0,202300.0
1406,2015,San Joaquin County,All Residential,1720.82,300318.18
1407,2015,San Joaquin County,Condo/Co-op,71.55,125869.27
1408,2015,San Joaquin County,Multi-Family (2-4 Unit),106.27,217800.0
1409,2015,San Joaquin County,Single Family Residential,1538.73,309318.18
1410,2015,San Joaquin County,Townhouse,4.29,204900.0
1411,2016,San Joaquin County,All Residential,1513.0,332045.45
1412,2016,San Joaquin County,Condo/Co-op,61.18,147241.55
1413,2016,San Joaquin County,Multi-Family (2-4 Unit),78.73,238954.55
1414,2016,San Joaquin County,Single Family Residential,1370.82,341772.73
1415,2016,San Joaquin County,Townhouse,1.5,205308.33
1416,2017,San Joaquin County,All Residential,1315.36,360181.82
1417,2017,San Joaquin County,Condo/Co-op,42.27,176363.64
1418,2017,San Joaquin County,Multi-Family (2-4 Unit),75.91,289863.64
1419,2017,San Joaquin County,Single Family Residential,1193.64,371013.73
1420,2017,San Joaquin County,Townhouse,3.6,164350.0
1421,2018,San Joaquin County,All Residential,1450.45,392442.91
1422,2018,San Joaquin County,Condo/Co-op,63.82,203340.91
1423,2018,San Joaquin County,Multi-Family (2-4 Unit),84.91,351409.09
1424,2018,San Joaquin County,Single Family Residential,1298.64,403068.18
1425,2018,San Joaquin County,Townhouse,3.09,189409.09
1426,2019,San Joaquin County,All Residential,1584.09,407704.55
